,AAPL,MSFT,GOOGL,AMZN,TSLA
2020-01-02,72.7174362708,153.3164411759,68.1041947788,94.9005,28.684
2020-01-03,72.0104780091,151.4073832607,67.7479200947,93.7485,29.534
2020-01-06,72.5842763243,151.7987401333,69.5536754418,95.144,30.1026666667
2020-01-07,72.2429026431,150.4146731447,69.4193260498,95.343,31.2706666667
2020-01-08,73.4050258131,152.8105408284,69.9134332583,94.5985,32.8093333333
2020-01-09,74.9642077328,154.7195987437,70.6473790111,95.0525,32.0893333333
2020-01-10,75.1336840284,154.0037020254,71.1036693538,94.158,31.8766666667
2020-01-13,76.7388666569,155.8554882033,71.6545018611,94.565,34.9906666667
2020-01-14,75.7026401637,154.757779902,71.1847765793,93.472,35.8613333333
2020-01-15,75.3782141121,155.7600353075,71.6132018628,93.101,34.5666666667
2020-01-16,76.3224391877,158.6140768908,72.1585608765,93.897,34.2326666667
2020-01-17,77.1673995758,159.5017888214,73.6194861174,93.236,34.0333333333
2020-01-21,76.6444441493,158.9290714468,73.7553282804,94.6,36.48
2020-01-22,76.9180273123,158.1654482807,73.8359379157,94.373,37.9706666667
2020-01-23,77.2884540727,159.1390678175,73.8767403236,94.229,38.1466666667
2020-01-24,77.0657137985,157.5354591687,72.9552030123,93.082,37.6546666667
2020-01-27,74.799573617,154.9009592456,71.2415018782,91.417,37.2013333333
2020-01-28,76.9156062223,157.9363613309,72.1754789481,92.6625,37.7933333333
2020-01-29,78.5256310307,160.3990460416,72.4839849594,92.9,38.7326666667
2020-01-30,78.4118398037,164.9235133008,72.3620753259,93.534,42.7206666667
2020-01-31,74.9351546535,162.4894644588,71.293748864,100.436,43.3713333333
2020-02-03,74.7293620088,166.450759633,73.7727439424,100.21,52.0
2020-02-04,77.1964526551,171.9297558499,71.9222054645,102.4835,59.1373333333
2020-02-05,77.8259360388,171.7197594792,71.9540512464,101.9935,48.98
2020-02-06,78.7362658553,175.2801524912,73.4428415463,102.5115,49.9306666667
2020-02-07,77.6685651929,175.5283300202,73.5990849134,103.964,49.8713333333
2020-02-10,78.037456294,180.1196143064,75.0694643708,106.6955,51.4186666667
2020-02-11,77.566634757,176.0533209469,75.1391270185,107.54,51.6253333333
2020-02-12,79.4086633475,176.3110437654,75.5655619406,108.0,51.1526666667
2020-02-13,78.8431921201,175.3565148078,75.304824602,107.4935,53.6
2020-02-14,78.8626074413,176.9219422983,75.570537844,106.7435,53.3353333333
2020-02-18,77.4185929336,178.7164567387,75.6058667582,107.7835,57.2266666667
2020-02-19,78.5398277278,179.250992955,75.8760583134,108.511,61.1613333333
2020-02-20,77.7340919016,176.5136059417,75.4839571247,107.655,59.9606666667
2020-02-21,75.9745784259,170.9335477992,73.8155367117,104.7985,60.0666666667
2020-02-24,72.3657556142,163.5636596864,70.6508621435,100.4645,55.586
2020-02-25,69.9145713238,160.8645578062,68.9819441401,98.637,53.3273333333
2020-02-26,71.0236715423,162.8745272915,69.1884441316,98.9795,51.92
2020-02-27,66.3809828815,151.3985586588,65.4306418771,94.215,45.2666666667
2020-02-28,66.3421522392,155.0643601486,66.6397864055,94.1875,44.5326666667
2020-03-02,72.5186512679,165.3822035065,68.9819441401,97.6975,49.5746666667
2020-03-03,70.2155088011,157.4571809645,66.5636550834,95.4495,49.7006666667
2020-03-04,73.4724289176,163.2382360555,68.7470814992,98.7915,49.9666666667
2020-03-05,71.0891982511,159.1417268188,65.4211876606,96.2015,48.3026666667
2020-03-06,70.145128262,154.643223685,64.4747708322,95.0545,46.8986666667
2020-03-09,64.5972002543,144.1626685117,60.4965360567,90.0305,40.5333333333
2020-03-10,69.2495965757,154.0210902729,63.451227501,94.591,43.022
2020-03-11,66.844523673,147.043624774,60.25321438,91.043,42.282
2020-03-12,60.243314495,133.0982650594,55.3096543431,83.8305,37.37
2020-03-13,67.4609601183,152.0206920709,60.4209023249,89.25,36.4413333333
2020-03-16,58.7823115813,129.6143179515,53.391443579,84.4575,29.6713333333
2020-03-17,61.3669762043,140.2862987901,55.6335856551,90.392,28.68
2020-03-18,59.8647157333,134.3808170167,54.2965604091,91.5,24.0813333333
2020-03-19,59.406028772,136.5917834505,55.3156254272,94.0465,28.5093333333
2020-03-20,55.634602646,131.4615756213,53.1530978057,92.3045,28.502
2020-03-23,54.4526949734,130.1503098143,52.4524906057,95.1415,28.9526666667
2020-03-24,59.9156809512,141.9804159277,56.2282061124,97.005,33.6666666667
2020-03-25,59.5856204923,140.6212937043,54.8155471346,94.292,35.95
2020-03-26,62.7211948519,149.4173030233,57.8657759244,97.7745,35.2106666667
2020-03-27,60.1243956532,143.2821104515,55.2454651892,95.005,34.2906666667
2020-03-30,61.8402246564,153.3606717278,57.0392783681,98.1975,33.4753333333
2020-03-31,61.7140250692,150.9487083454,57.8175096613,97.486,34.9333333333
2020-04-01,58.4668126132,145.588789718,54.839431471,95.385,32.104
2020-04-02,59.4424324991,148.6037439459,55.5823338499,95.9415,30.298
2020-04-03,58.5881583702,147.2350504393,54.3716965505,95.3295,32.0006666667
2020-04-06,63.6992416529,158.1845984925,58.8743915454,99.8795,34.416
2020-04-07,62.9614594506,156.4809100716,58.8430433539,100.58,36.3633333333
2020-04-08,64.5729311029,158.0506005268,60.0591541471,102.15,36.5893333333
2020-04-09,65.0388988096,158.06017181,60.0377577624,102.138,38.2
2020-04-13,66.3154561727,158.4143092908,60.2288324533,108.4435,43.3966666667
2020-04-14,69.6645990645,166.2531902834,62.9566227021,114.166,47.326
2020-04-15,69.0287472981,164.5112167295,62.5620335618,115.384,48.6553333333
2020-04-16,69.5772301195,169.4499988934,62.5685022362,120.4095,49.6806666667
2020-04-17,68.6331601304,170.9431190824,63.6418046016,118.75,50.2593333333
2020-04-20,67.2085609439,167.5548848072,62.7536058431,119.6805,49.7573333333
2020-04-21,65.1311215849,160.6252757246,60.315910763,116.406,45.7813333333
2020-04-22,67.0071269873,166.0809071847,62.6172660896,118.1745,48.8073333333
2020-04-23,66.7474470674,164.0709376994,63.2521913646,119.9725,47.042
2020-04-24,68.6744176878,167.0667493608,63.5223829197,120.511,48.3433333333
2020-04-27,68.7229559906,166.5881851976,63.2367660641,118.8,53.25
2020-04-28,67.6090019418,162.529961094,61.3324878294,115.704,51.2746666667
2020-04-29,69.829629294,169.8232789406,66.7855803754,118.6355,53.3673333333
2020-04-30,71.3027667833,171.5269673615,67.0104912095,123.7,52.1253333333
2020-05-01,70.1548359226,167.0858919273,65.5485707879,114.302,46.7546666667
2020-05-04,71.1474442144,171.1728298808,65.8262261981,115.7995,50.746
2020-05-05,72.2152868756,173.0105162673,67.1259321686,115.89,51.214
2020-05-06,72.9603498232,174.7142046882,66.9472972362,117.563,52.172
2020-05-07,73.7151204315,175.7287607141,68.1340501992,118.3805,52.0026666667
2020-05-08,75.4649262467,176.7624593065,68.8834212526,118.9805,54.628
2020-05-11,76.6523922773,178.7341436588,69.8412826589,120.45,54.086
2020-05-12,75.7763927465,174.6854908384,68.4276285004,117.8475,53.9606666667
2020-05-13,74.8614599032,172.0438166577,67.091598435,118.396,52.7306666667
2020-05-14,75.3213596569,172.7903767523,67.5160429958,119.4425,53.5553333333
2020-05-15,74.8760598954,175.3076242505,68.3221393481,120.489,53.278
2020-05-18,76.6402256172,176.9825988216,68.9252188413,121.313,54.242
2020-05-19,76.1973591877,175.7574745639,68.3888164538,122.4665,53.8673333333
2020-05-20,77.679258394,178.1885805128,70.1184404788,124.897,54.3706666667
2020-05-21,77.1001253708,176.048321251,69.9985212066,122.337,55.1733333333
2020-05-22,77.596525105,176.1251018523,70.3214573379,121.844,54.4586666667
2020-05-26,77.0709253865,174.2631722703,70.725998285,121.093,54.5913333333
2020-05-27,77.4067252066,174.4935140742,70.6717609379,120.5195,54.682
2020-05-28,77.440791855,174.1000134925,70.5702525083,120.055,53.7206666667
2020-05-29,77.3653585621,175.875564898,71.3305705492,122.1185,55.6666666667
2020-06-01,78.3167913858,175.4724667411,71.3977452452,123.552,59.8733333333
2020-06-02,78.6793578583,177.4687623754,71.7679524589,123.6205,58.7706666667
2020-06-03,79.1124909597,177.9006532578,71.6156898145,123.92,58.864
2020-06-04,78.4311579913,175.5588449176,70.374201914,123.03,57.6253333333
2020-06-05,80.6649567948,179.6666070882,71.6540042708,124.15,59.044
2020-06-08,81.1418898727,180.7799258073,72.0530717242,126.203,63.328
2020-06-09,83.7041885003,182.161976631,72.2540982219,130.043,62.7113333333
2020-06-10,85.8576873468,188.9186695472,72.8820572321,132.3725,68.3366666667
2020-06-11,81.735622888,178.7740325978,69.7571898913,127.898,64.856
2020-06-12,82.4412891767,180.1848761471,70.3055344469,127.251,62.352
2020-06-15,83.4608552973,181.3365851669,70.6946500935,128.634,66.06
